city,name,country,region,population,size_stratum,n_emergency_services,mean_everyday,mean_emergency,gini_everyday,gini_emergency,divergence_gap,spearman_rho,compounding_pop_share_50,compounding_intensity,pop_share_beyond_everyday_30,pop_share_beyond_emergency_30
paris,Paris,FR,West,12886280,>5M,2,0.1352,0.729,0.6245,0.497,-0.1275,0.4974,0.3336,0.3886,0.1057,0.0188
madrid,Madrid,ES,South,7601394,>5M,2,0.1908,0.6246,0.5332,0.4386,-0.0946,0.3944,0.3161,0.3743,0.1312,0.0111
barcelona,Barcelona,ES,South,5945709,>5M,2,0.1748,0.8423,0.5447,0.4184,-0.1263,0.3642,0.3095,0.3723,0.1122,0.0108
milano,Milano,IT,South,5030024,>5M,2,0.1827,0.6113,0.4003,0.4003,-0.0,0.3681,0.3186,0.3737,0.0918,0.0024
berlin,Berlin,DE,West,4875655,1-5M,2,0.1584,0.6215,0.5578,0.4379,-0.1199,0.3784,0.3168,0.374,0.0821,0.0037
roma,Roma,IT,South,4432845,1-5M,2,0.2875,1.1372,0.4239,0.5034,0.0795,0.4762,0.3417,0.3872,0.2415,0.0456
athina,Athina,EL,South,3522264,1-5M,1,0.1032,0.7336,0.6087,0.5004,-0.1083,0.2752,0.2739,0.3608,0.057,0.0311
bruxelles,Bruxelles,BE,West,3521497,1-5M,2,0.1821,1.2902,0.5834,0.2865,-0.2969,0.3986,0.3323,0.3781,0.1753,0.0078
napoli,Napoli,IT,South,3457649,1-5M,2,0.326,0.8329,0.3049,0.3836,0.0787,0.1468,0.2703,0.346,0.3453,0.0129
warszawa,Warszawa,PL,CEE,3334987,1-5M,2,0.2247,1.9901,0.5892,0.5899,0.0007,0.4934,0.3473,0.3891,0.1886,0.1215
hamburg,Hamburg,DE,West,3162607,1-5M,2,0.2598,0.5782,0.5433,0.4368,-0.1065,0.4034,0.3205,0.3781,0.1935,0.0018
bucuresti,București,RO,CEE,3140502,1-5M,2,0.3346,3.2062,0.5238,0.7741,0.2504,0.728,0.4243,0.4208,0.3359,0.1987
lisboa,Lisboa,PT,South,3132904,1-5M,2,0.2395,1.185,0.3669,0.4088,0.0419,0.481,0.3193,0.3872,0.1504,0.0511
munchen,München,DE,West,3054507,1-5M,2,0.1776,0.5999,0.6155,0.4492,-0.1664,0.3493,0.3039,0.371,0.1345,0.0038
budapest,Budapest,HU,CEE,3030949,1-5M,2,0.1832,1.0486,0.5378,0.5067,-0.031,0.4848,0.3271,0.3865,0.143,0.0428
amsterdam,Amsterdam,NL,West,2829893,1-5M,2,0.2267,0.75,0.5009,0.3262,-0.1747,0.1959,0.2854,0.3529,0.1522,0.0005
stockholm,Stockholm,SE,North,2549795,1-5M,2,0.2671,1.7291,0.4598,0.513,0.0533,0.6503,0.3891,0.4079,0.2545,0.0895
koeln,Köln,DE,West,2438338,1-5M,2,0.2044,0.5696,0.5198,0.398,-0.1218,0.3646,0.3121,0.3728,0.1318,0.0025
praha,Praha,CZ,CEE,2247160,1-5M,2,0.2817,1.1111,0.5151,0.4753,-0.0398,0.4621,0.3541,0.3848,0.2513,0.0496
kobenhavn,København,DK,North,2180998,1-5M,2,0.2536,0.9396,0.4014,0.4014,-0.0,0.3012,0.307,0.3656,0.1883,0.0126
sofia,Sofia,BG,CEE,1647936,1-5M,2,0.2852,1.441,0.5108,0.5998,0.089,0.7309,0.408,0.4155,0.288,0.0731
helsinki,Helsinki,FI,North,1642879,1-5M,1,0.3791,1.3623,0.341,0.4265,0.0855,0.2594,0.2701,0.3612,0.3708,0.0457
oslo,Oslo,NO,North,1550450,1-5M,2,0.2095,2.0605,0.5533,0.4668,-0.0865,0.3913,0.297,0.3764,0.1659,0.1406
porto,Porto,PT,South,1531690,1-5M,2,0.3242,0.8466,0.2723,0.3954,0.1231,0.4221,0.3212,0.3823,0.355,0.0029
krakow,Kraków,PL,CEE,1350286,1-5M,2,0.3079,1.4963,0.5226,0.5188,-0.0037,0.5847,0.3959,0.4019,0.3123,0.136
katowice,Katowice,PL,CEE,1341890,1-5M,2,0.1677,1.0154,0.489,0.2787,-0.2103,0.1035,0.2668,0.3431,0.0671,0.0005
zagreb,Zagreb,HR,CEE,1293698,1-5M,2,0.3432,2.0701,0.499,0.5826,0.0836,0.7008,0.395,0.4159,0.3606,0.186
antwerpen,Antwerpen,BE,West,1219366,1-5M,2,0.2888,0.774,0.5232,0.4058,-0.1174,0.295,0.3108,0.3659,0.2385,0.0021
riga,Rīga,LV,CEE,1110303,1-5M,2,0.3619,3.3666,0.5022,0.6819,0.1797,0.5492,0.3743,0.3943,0.3336,0.1937
bilbao,Bilbao,ES,South,1053444,1-5M,2,0.1603,1.0621,0.57,0.4329,-0.1371,0.4182,0.324,0.3805,0.1011,0.0317
lodz,Łódź,PL,CEE,1045886,1-5M,2,0.2549,1.5981,0.5337,0.491,-0.0428,0.3342,0.3102,0.368,0.1839,0.1129
goteborg,Göteborg,SE,North,1042720,1-5M,2,0.4266,2.4393,0.3348,0.4458,0.111,0.3118,0.2985,0.3661,0.4843,0.0943
vilnius,Vilnius,LT,CEE,1010376,1-5M,2,0.4623,5.3928,0.4107,0.7387,0.328,0.5502,0.358,0.3988,0.5179,0.2636
palermo,Palermo,IT,South,1006055,1-5M,2,0.3172,3.644,0.3828,0.2922,-0.0906,0.2686,0.2894,0.3582,0.3352,0.2138
alicante,Alicante,ES,South,996867,250k-1M,2,0.3107,1.7998,0.5298,0.2768,-0.2529,0.147,0.2689,0.3487,0.2907,0.0496
wroclaw,Wrocław,PL,CEE,939076,250k-1M,2,0.1993,1.4716,0.6088,0.3619,-0.247,0.4093,0.3405,0.3808,0.1688,0.0545
bratislava,Bratislava,SK,CEE,931613,250k-1M,2,0.2956,1.7814,0.5224,0.4299,-0.0925,0.3921,0.3356,0.3738,0.2766,0.1251
ljubljana,Ljubljana,SI,CEE,919303,250k-1M,2,0.447,4.9583,0.3872,0.4811,0.094,0.4793,0.3408,0.3842,0.477,0.2874
palma_de_mallorca,Palma de Mallorca,ES,South,818202,250k-1M,2,0.2507,1.3912,0.5035,0.4531,-0.0504,0.1375,0.294,0.3474,0.2202,0.0805
brno,Brno,CZ,CEE,745397,250k-1M,2,0.2863,1.1427,0.5609,0.4566,-0.1042,0.6004,0.3694,0.4015,0.286,0.0416
tallinn,Tallinn,EE,CEE,731883,250k-1M,2,0.3493,2.7991,0.4561,0.713,0.2569,0.4486,0.326,0.381,0.2878,0.1293
grenoble,Grenoble,FR,West,688170,250k-1M,2,0.2114,1.1093,0.583,0.4442,-0.1388,0.6225,0.3788,0.4046,0.2058,0.0237
luxembourg,Luxembourg,LU,West,595677,250k-1M,2,0.3123,1.6445,0.4691,0.4074,-0.0618,0.2998,0.3012,0.3644,0.3038,0.0598
toulon,Toulon,FR,West,540279,250k-1M,2,0.3149,0.9074,0.4309,0.4584,0.0275,0.4146,0.3259,0.3753,0.2857,0.0137
aarhus,Aarhus,DK,North,525545,250k-1M,2,0.336,1.8123,0.3944,0.438,0.0437,0.3839,0.3096,0.3733,0.3554,0.1477
chemnitz,Chemnitz,DE,West,481607,250k-1M,2,0.2232,0.6903,0.5579,0.3634,-0.1945,0.3594,0.319,0.372,0.2094,0.0015
turku,Turku,FI,North,353992,250k-1M,2,0.4094,1.6289,0.3847,0.5654,0.1807,0.669,0.3602,0.4109,0.4379,0.1151
stavanger,Stavanger,NO,North,331780,250k-1M,2,0.2517,2.1046,0.4981,0.4916,-0.0065,0.2828,0.2987,0.3646,0.1832,0.1807
aalborg,Aalborg,DK,North,309890,250k-1M,2,0.4054,1.868,0.4195,0.541,0.1215,0.467,0.342,0.3855,0.4407,0.1542
caserta,Caserta,IT,South,298402,250k-1M,2,0.2828,1.3295,0.2979,0.2279,-0.07,0.1774,0.2719,0.3471,0.1696,0.0062
vicenza,Vicenza,IT,South,280054,250k-1M,2,0.2749,1.0803,0.3914,0.4107,0.0193,0.471,0.3443,0.3838,0.2053,0.0211
helsingborg,Helsingborg,SE,North,253346,250k-1M,2,0.4198,0.8954,0.2837,0.3865,0.1028,0.5127,0.3657,0.39,0.4875,0.0053
jaen,Jaén,ES,South,249477,100-250k,2,0.2912,1.2429,0.5432,0.3849,-0.1584,-0.0189,0.2328,0.3234,0.2757,0.0131
szeged,Szeged,HU,CEE,246224,100-250k,1,0.281,0.8236,0.533,0.5684,0.0353,0.583,0.3918,0.3969,0.265,0.0412
apeldoorn,Apeldoorn,NL,West,242638,100-250k,2,0.3256,1.0244,0.4389,0.3409,-0.098,0.3275,0.3331,0.3713,0.2528,0.0015
cosenza,Cosenza,IT,South,239305,100-250k,2,0.5051,1.2333,0.4068,0.4998,0.093,0.7001,0.3901,0.4149,0.5606,0.0605
braila,Brăila,RO,CEE,235919,100-250k,1,0.4217,1.2851,0.4338,0.6917,0.2579,0.6258,0.3587,0.4003,0.3947,0.1275
amersfoort,Amersfoort,NL,West,234650,100-250k,2,0.2188,0.637,0.4578,0.3502,-0.1076,0.2591,0.2816,0.3606,0.1235,0.0001
zilina,Žilina,SK,CEE,217546,100-250k,1,0.431,1.4557,0.4237,0.4427,0.019,0.6163,0.3648,0.407,0.4733,0.0766
vasteras,Västerås,SE,North,193510,100-250k,2,0.4536,1.1279,0.3265,0.4777,0.1512,0.6246,0.387,0.3996,0.5218,0.0285
norrkoping,Norrköping,SE,North,193317,100-250k,1,0.4453,1.8753,0.4229,0.56,0.1371,0.5523,0.3535,0.3923,0.4651,0.1726
lahti,Lahti,FI,North,191532,100-250k,1,0.4952,2.1438,0.3527,0.4444,0.0917,0.4993,0.3454,0.3858,0.5425,0.2212
landshut,Landshut,DE,West,168617,100-250k,2,0.3645,0.6792,0.4922,0.4383,-0.0539,0.488,0.3611,0.3897,0.3242,0.0007
sittard_geleen,Sittard-Geleen,NL,West,165544,100-250k,2,0.4396,0.8285,0.3163,0.2728,-0.0435,0.3084,0.2869,0.3576,0.4091,0.0001
arezzo,Arezzo,IT,South,146788,100-250k,2,0.3808,1.0223,0.4121,0.4457,0.0336,0.4522,0.3416,0.3891,0.3891,0.0093
lomza,Łomża,PL,CEE,117255,100-250k,2,0.4841,1.015,0.417,0.6214,0.2044,0.7431,0.4296,0.4343,0.4509,0.0696
talavera_de_la_reina,Talavera de la Reina,ES,South,101050,100-250k,1,0.3778,0.8865,0.5216,0.4543,-0.0673,0.6627,0.415,0.4056,0.3724,0.0111
